"Label (Grouping)","ZCTA5 90043!!Total!!Estimate","ZCTA5 90043!!Total!!Margin of Error","ZCTA5 90043!!Percent!!Estimate","ZCTA5 90043!!Percent!!Margin of Error","ZCTA5 90043!!Male!!Estimate","ZCTA5 90043!!Male!!Margin of Error","ZCTA5 90043!!Percent Male!!Estimate","ZCTA5 90043!!Percent Male!!Margin of Error","ZCTA5 90043!!Female!!Estimate","ZCTA5 90043!!Female!!Margin of Error","ZCTA5 90043!!Percent Female!!Estimate","ZCTA5 90043!!Percent Female!!Margin of Error","ZCTA5 90045!!Total!!Estimate","ZCTA5 90045!!Total!!Margin of Error","ZCTA5 90045!!Percent!!Estimate","ZCTA5 90045!!Percent!!Margin of Error","ZCTA5 90045!!Male!!Estimate","ZCTA5 90045!!Male!!Margin of Error","ZCTA5 90045!!Percent Male!!Estimate","ZCTA5 90045!!Percent Male!!Margin of Error","ZCTA5 90045!!Female!!Estimate","ZCTA5 90045!!Female!!Margin of Error","ZCTA5 90045!!Percent Female!!Estimate","ZCTA5 90045!!Percent Female!!Margin of Error","ZCTA5 90250!!Total!!Estimate","ZCTA5 90250!!Total!!Margin of Error","ZCTA5 90250!!Percent!!Estimate","ZCTA5 90250!!Percent!!Margin of Error","ZCTA5 90250!!Male!!Estimate","ZCTA5 90250!!Male!!Margin of Error","ZCTA5 90250!!Percent Male!!Estimate","ZCTA5 90250!!Percent Male!!Margin of Error","ZCTA5 90250!!Female!!Estimate","ZCTA5 90250!!Female!!Margin of Error","ZCTA5 90250!!Percent Female!!Estimate","ZCTA5 90250!!Percent Female!!Margin of Error","ZCTA5 90301!!Total!!Estimate","ZCTA5 90301!!Total!!Margin of Error","ZCTA5 90301!!Percent!!Estimate","ZCTA5 90301!!Percent!!Margin of Error","ZCTA5 90301!!Male!!Estimate","ZCTA5 90301!!Male!!Margin of Error","ZCTA5 90301!!Percent Male!!Estimate","ZCTA5 90301!!Percent Male!!Margin of Error","ZCTA5 90301!!Female!!Estimate","ZCTA5 90301!!Female!!Margin of Error","ZCTA5 90301!!Percent Female!!Estimate","ZCTA5 90301!!Percent Female!!Margin of Error","ZCTA5 90302!!Total!!Estimate","ZCTA5 90302!!Total!!Margin of Error","ZCTA5 90302!!Percent!!Estimate","ZCTA5 90302!!Percent!!Margin of Error","ZCTA5 90302!!Male!!Estimate","ZCTA5 90302!!Male!!Margin of Error","ZCTA5 90302!!Percent Male!!Estimate","ZCTA5 90302!!Percent Male!!Margin of Error","ZCTA5 90302!!Female!!Estimate","ZCTA5 90302!!Female!!Margin of Error","ZCTA5 90302!!Percent Female!!Estimate","ZCTA5 90302!!Percent Female!!Margin of Error","ZCTA5 90303!!Total!!Estimate","ZCTA5 90303!!Total!!Margin of Error","ZCTA5 90303!!Percent!!Estimate","ZCTA5 90303!!Percent!!Margin of Error","ZCTA5 90303!!Male!!Estimate","ZCTA5 90303!!Male!!Margin of Error","ZCTA5 90303!!Percent Male!!Estimate","ZCTA5 90303!!Percent Male!!Margin of Error","ZCTA5 90303!!Female!!Estimate","ZCTA5 90303!!Female!!Margin of Error","ZCTA5 90303!!Percent Female!!Estimate","ZCTA5 90303!!Percent Female!!Margin of Error","ZCTA5 90304!!Total!!Estimate","ZCTA5 90304!!Total!!Margin of Error","ZCTA5 90304!!Percent!!Estimate","ZCTA5 90304!!Percent!!Margin of Error","ZCTA5 90304!!Male!!Estimate","ZCTA5 90304!!Male!!Margin of Error","ZCTA5 90304!!Percent Male!!Estimate","ZCTA5 90304!!Percent Male!!Margin of Error","ZCTA5 90304!!Female!!Estimate","ZCTA5 90304!!Female!!Margin of Error","ZCTA5 90304!!Percent Female!!Estimate","ZCTA5 90304!!Percent Female!!Margin of Error","ZCTA5 90305!!Total!!Estimate","ZCTA5 90305!!Total!!Margin of Error","ZCTA5 90305!!Percent!!Estimate","ZCTA5 90305!!Percent!!Margin of Error","ZCTA5 90305!!Male!!Estimate","ZCTA5 90305!!Male!!Margin of Error","ZCTA5 90305!!Percent Male!!Estimate","ZCTA5 90305!!Percent Male!!Margin of Error","ZCTA5 90305!!Female!!Estimate","ZCTA5 90305!!Female!!Margin of Error","ZCTA5 90305!!Percent Female!!Estimate","ZCTA5 90305!!Percent Female!!Margin of Error"
"        Some college, no degree","7,263","±723","23.0%","±1.9","3,066","±466","21.0%","±2.9","4,197","±505","24.8%","±2.6","5,356","±732","19.2%","±2.2","2,701","±462","21.0%","±3.0","2,655","±459","17.6%","±2.8","13,929","±976","22.1%","±1.5","6,424","±683","21.2%","±2.1","7,505","±667","23.0%","±1.9","6,285","±920","24.3%","±2.9","3,308","±767","24.4%","±4.9","2,977","±406","24.2%","±3.0","5,134","±739","25.4%","±3.0","2,221","±446","24.4%","±3.9","2,913","±665","26.2%","±5.0","3,297","±488","21.2%","±2.5","1,766","±304","22.8%","±3.4","1,531","±313","19.6%","±3.4","2,116","±392","12.6%","±2.1","1,028","±259","11.9%","±2.9","1,088","±240","13.4%","±2.6","3,067","±421","27.6%","±3.1","1,512","±278","29.7%","±5.1","1,555","±333","25.8%","±4.6"
"        Associate's degree","2,684","±473","8.5%","±1.5","1,157","±343","7.9%","±2.3","1,527","±333","9.0%","±1.9","2,045","±336","7.3%","±1.2","691","±183","5.4%","±1.5","1,354","±286","9.0%","±1.8","4,814","±599","7.6%","±0.9","2,315","±398","7.6%","±1.3","2,499","±376","7.6%","±1.1","1,658","±325","6.4%","±1.2","855","±223","6.3%","±1.7","803","±222","6.5%","±1.7","1,599","±340","7.9%","±1.6","649","±203","7.1%","±2.1","950","±310","8.6%","±2.7","1,084","±267","7.0%","±1.8","462","±161","6.0%","±2.1","622","±166","8.0%","±2.1","774","±235","4.6%","±1.3","310","±166","3.6%","±1.8","464","±169","5.7%","±2.0","1,035","±238","9.3%","±2.0","469","±149","9.2%","±2.8","566","±179","9.4%","±2.9"
"        Bachelor's degree","5,989","±810","19.0%","±2.3","2,671","±508","18.3%","±3.2","3,318","±543","19.6%","±3.0","10,545","±817","37.8%","±2.8","4,763","±453","37.0%","±3.2","5,782","±628","38.4%","±3.7","11,220","±916","17.8%","±1.4","5,277","±581","17.4%","±1.8","5,943","±574","18.2%","±1.5","3,823","±549","14.8%","±2.0","1,789","±419","13.2%","±2.8","2,034","±350","16.5%","±2.7","3,900","±442","19.3%","±2.3","1,660","±299","18.3%","±3.2","2,240","±333","20.2%","±3.1","1,836","±287","11.8%","±1.9","850","±209","11.0%","±2.5","986","±215","12.6%","±2.8","1,955","±348","11.7%","±2.0","946","±250","11.0%","±2.6","1,009","±238","12.5%","±2.9","2,007","±364","18.1%","±3.2","820","±222","16.1%","±4.1","1,187","±234","19.7%","±3.7"
"        Graduate or professional degree","3,818","±596","12.1%","±1.9","1,507","±341","10.3%","±2.3","2,311","±425","13.6%","±2.7","6,616","±731","23.7%","±2.6","3,158","±361","24.5%","±2.9","3,458","±554","23.0%","±3.5","4,848","±529","7.7%","±0.8","2,337","±340","7.7%","±1.1","2,511","±349","7.7%","±1.1","1,253","±296","4.8%","±1.1","394","±156","2.9%","±1.1","859","±272","7.0%","±2.1","1,495","±295","7.4%","±1.5","417","±118","4.6%","±1.4","1,078","±251","9.7%","±2.2","808","±121","5.2%","±0.8","250","±88","3.2%","±1.1","558","±108","7.2%","±1.4","362","±128","2.2%","±0.8","99","±49","1.1%","±0.6","263","±120","3.2%","±1.5","1,692","±285","15.2%","±2.5","675","±189","13.3%","±3.4","1,017","±198","16.9%","±3.5"
"        High school graduate or higher","26,681","±1,330","84.6%","±1.8","12,092","±891","82.8%","±3.2","14,589","±872","86.1%","±2.1","26,830","±1,205","96.1%","±1.3","12,415","±705","96.5%","±1.3","14,415","±803","95.7%","±1.8","49,794","±1,494","79.0%","±1.5","24,225","±1,005","79.8%","±1.9","25,569","±963","78.2%","±1.7","18,942","±1,328","73.2%","±2.7","9,782","±996","72.0%","±3.6","9,160","±588","74.5%","±3.1","16,377","±1,086","81.1%","±2.4","7,345","±795","80.8%","±3.1","9,032","±718","81.3%","±3.3","11,374","±876","73.1%","±3.2","5,725","±564","73.8%","±4.2","5,649","±511","72.5%","±3.9","9,146","±952","54.7%","±3.5","4,507","±627","52.2%","±4.5","4,639","±565","57.3%","±4.6","10,293","±698","92.7%","±1.8","4,656","±417","91.5%","±2.8","5,637","±504","93.7%","±2.1"
"        Bachelor's degree or higher","9,807","±981","31.1%","±2.9","4,178","±585","28.6%","±3.6","5,629","±623","33.2%","±3.6","17,161","±934","61.4%","±3.0","7,921","±494","61.5%","±3.7","9,240","±760","61.4%","±3.9","16,068","±1,065","25.5%","±1.5","7,614","±669","25.1%","±2.0","8,454","±640","25.9%","±1.7","5,076","±601","19.6%","±2.1","2,183","±424","16.1%","±2.8","2,893","±408","23.5%","±3.0","5,395","±508","26.7%","±2.7","2,077","±310","22.9%","±3.5","3,318","±402","29.9%","±3.6","2,644","±280","17.0%","±1.9","1,100","±236","14.2%","±2.8","1,544","±245","19.8%","±3.1","2,317","±382","13.8%","±2.2","1,045","±262","12.1%","±2.8","1,272","±261","15.7%","±3.1","3,699","±480","33.3%","±4.1","1,495","±292","29.4%","±4.8","2,204","±333","36.6%","±5.7"
"    Population 25 to 34 years","5,273","±682","(X)","(X)","2,708","±525","(X)","(X)","2,565","±375","(X)","(X)","6,585","±839","(X)","(X)","3,196","±493","(X)","(X)","3,389","±632","(X)","(X)","17,228","±1,072","(X)","(X)","8,130","±671","(X)","(X)","9,098","±738","(X)","(X)","5,835","±870","(X)","(X)","3,118","±515","(X)","(X)","2,717","±509","(X)","(X)","4,793","±651","(X)","(X)","2,293","±421","(X)","(X)","2,500","±401","(X)","(X)","3,984","±485","(X)","(X)","2,131","±315","(X)","(X)","1,853","±341","(X)","(X)","4,402","±616","(X)","(X)","2,209","±464","(X)","(X)","2,193","±349","(X)","(X)","2,038","±355","(X)","(X)","1,123","±282","(X)","(X)","915","±212","(X)","(X)"
"        High school graduate or higher","4,720","±643","89.5%","±3.9","2,433","±515","89.8%","±4.4","2,287","±335","89.2%","±6.1","6,459","±833","98.1%","±2.1","3,176","±490","99.4%","±0.9","3,283","±610","96.9%","±4.0","15,111","±1,026","87.7%","±3.1","7,139","±611","87.8%","±3.4","7,972","±649","87.6%","±4.2","5,403","±852","92.6%","±3.0","2,915","±510","93.5%","±3.3","2,488","±492","91.6%","±4.3","4,407","±678","91.9%","±3.9","2,126","±420","92.7%","±5.3","2,281","±417","91.2%","±5.1","3,346","±493","84.0%","±4.9","1,733","±311","81.3%","±6.4","1,613","±337","87.0%","±4.9","3,664","±606","83.2%","±5.1","1,756","±437","79.5%","±7.6","1,908","±346","87.0%","±5.5","1,914","±346","93.9%","±4.4","1,006","±267","89.6%","±7.8","908","±212","99.2%","±1.4"
"        Bachelor's degree or higher","1,807","±424","34.3%","±6.6","858","±353","31.7%","±10.6","949","±216","37.0%","±7.0","5,028","±756","76.4%","±4.5","2,275","±424","71.2%","±6.3","2,753","±552","81.2%","±5.7","5,892","±640","34.2%","±2.8","2,513","±378","30.9%","±4.0","3,379","±439","37.1%","±3.5","1,873","±478","32.1%","±5.9","895","±279","28.7%","±7.7","978","±296","36.0%","±7.1","2,112","±427","44.1%","±6.8","779","±231","34.0%","±8.2","1,333","±300","53.3%","±8.3","817","±231","20.5%","±4.8","387","±189","18.2%","±7.9","430","±150","23.2%","±6.7","1,141","±283","25.9%","±5.0","522","±225","23.6%","±7.1","619","±189","28.2%","±7.8","797","±238","39.1%","±9.4","373","±146","33.2%","±11.8","424","±161","46.3%","±15.7"
"    Population 35 to 44 years","6,153","±787","(X)","(X)","2,701","±472","(X)","(X)","3,452","±548","(X)","(X)","5,625","±654","(X)","(X)","2,853","±447","(X)","(X)","2,772","±387","(X)","(X)","13,658","±849","(X)","(X)","6,904","±567","(X)","(X)","6,754","±555","(X)","(X)","5,055","±697","(X)","(X)","2,433","±502","(X)","(X)","2,622","±362","(X)","(X)","4,588","±799","(X)","(X)","2,397","±566","(X)","(X)","2,191","±409","(X)","(X)","3,203","±510","(X)","(X)","1,724","±359","(X)","(X)","1,479","±266","(X)","(X)","3,346","±568","(X)","(X)","2,014","±501","(X)","(X)","1,332","±226","(X)","(X)","1,403","±272","(X)","(X)","501","±152","(X)","(X)","902","±241","(X)","(X)"
"        High school graduate or higher","5,296","±782","86.1%","±4.5","2,352","±470","87.1%","±6.8","2,944","±533","85.3%","±5.6","5,555","±645","98.8%","±1.2","2,799","±438","98.1%","±2.2","2,756","±382","99.4%","±0.7","11,110","±720","81.3%","±3.5","5,529","±541","80.1%","±4.1","5,581","±459","82.6%","±4.2","3,693","±624","73.1%","±6.6","1,618","±448","66.5%","±9.1","2,075","±353","79.1%","±6.8","3,637","±715","79.3%","±6.7","1,853","±501","77.3%","±9.7","1,784","±401","81.4%","±7.3","2,638","±498","82.4%","±5.0","1,420","±360","82.4%","±7.4","1,218","±258","82.4%","±6.0","2,187","±405","65.4%","±5.9","1,241","±335","61.6%","±7.2","946","±201","71.0%","±8.6","1,345","±266","95.9%","±4.1","474","±154","94.6%","±6.8","871","±237","96.6%","±3.2"
"        Bachelor's degree or higher","2,116","±387","34.4%","±5.7","928","±263","34.4%","±8.3","1,188","±210","34.4%","±6.5","3,817","±482","67.9%","±5.8","2,011","±319","70.5%","±7.2","1,806","±266","65.2%","±7.4","3,743","±520","27.4%","±3.4","1,811","±282","26.2%","±3.5","1,932","±347","28.6%","±5.0","1,455","±321","28.8%","±5.2","441","±166","18.1%","±5.2","1,014","±289","38.7%","±8.7","1,183","±324","25.8%","±6.0","533","±226","22.2%","±8.1","650","±217","29.7%","±8.4","710","±196","22.2%","±5.6","272","±98","15.8%","±5.4","438","±143","29.6%","±8.7","678","±198","20.3%","±6.1","360","±139","17.9%","±7.4","318","±117","23.9%","±7.6","470","±152","33.5%","±10.8","150","±97","29.9%","±15.4","320","±116","35.5%","±14.4"
"    Population 45 to 64 years","11,895","±959","(X)","(X)","5,648","±585","(X)","(X)","6,247","±593","(X)","(X)","10,063","±906","(X)","(X)","4,252","±496","(X)","(X)","5,811","±598","(X)","(X)","22,950","±936","(X)","(X)","11,379","±666","(X)","(X)","11,571","±588","(X)","(X)","10,371","±825","(X)","(X)","5,885","±635","(X)","(X)","4,486","±443","(X)","(X)","7,482","±748","(X)","(X)","3,154","±440","(X)","(X)","4,328","±524","(X)","(X)","5,478","±503","(X)","(X)","2,653","±336","(X)","(X)","2,825","±245","(X)","(X)","6,604","±692","(X)","(X)","3,402","±496","(X)","(X)","3,202","±322","(X)","(X)","4,739","±461","(X)","(X)","2,255","±344","(X)","(X)","2,484","±278","(X)","(X)"
"        High school graduate or higher","10,270","±940","86.3%","±2.2","4,681","±551","82.9%","±3.4","5,589","±575","89.5%","±2.3","9,564","±871","95.0%","±2.7","4,002","±471","94.1%","±2.9","5,562","±588","95.7%","±3.4","17,293","±937","75.4%","±2.4","8,824","±647","77.5%","±2.9","8,469","±626","73.2%","±3.2","7,166","±793","69.1%","±4.4","3,995","±634","67.9%","±6.2","3,171","±388","70.7%","±5.2","5,826","±641","77.9%","±4.1","2,499","±394","79.2%","±4.3","3,327","±432","76.9%","±5.9","3,504","±400","64.0%","±5.3","1,768","±265","66.6%","±6.9","1,736","±223","61.5%","±6.2","2,607","±440","39.5%","±5.3","1,262","±270","37.1%","±6.8","1,345","±268","42.0%","±6.6","4,325","±474","91.3%","±3.2","2,044","±346","90.6%","±4.2","2,281","±275","91.8%","±3.7"
"        Bachelor's degree or higher","3,681","±658","30.9%","±4.5","1,484","±345","26.3%","±5.1","2,197","±466","35.2%","±5.7","5,737","±674","57.0%","±4.7","2,332","±354","54.8%","±6.9","3,405","±532","58.6%","±6.0","4,604","±470","20.1%","±1.9","2,251","±301","19.8%","±2.6","2,353","±323","20.3%","±2.4","1,102","±258","10.6%","±2.5","533","±185","9.1%","±3.1","569","±173","12.7%","±3.8","1,312","±299","17.5%","±3.4","491","±154","15.6%","±4.7","821","±224","19.0%","±4.7","735","±153","13.4%","±2.9","279","±90","10.5%","±3.3","456","±120","16.1%","±4.1","379","±157","5.7%","±2.3","125","±63","3.7%","±1.9","254","±127","7.9%","±3.8","1,638","±287","34.6%","±5.5","702","±206","31.1%","±7.5","936","±169","37.7%","±7.1"
